Rank,University,Town
89,University of New Mexico,Albuquerque
1559,Truett McConnell University,Cleveland
1239,Waynesburg University,Waynesburg
1735,Wisconsin School of Professional Psychology,Milwaukee
249,University of Texas Southwestern Medical Center,Dallas
872,Palm Beach Atlantic University,West Palm Beach
1216,Lancaster Bible College,Lancaster
1437,The University of Montana Western,Dillon
676,Roanoke College,Salem
1697,The Wright Institute,Berkeley
493,Plymouth State University,Plymouth
141,College of William & Mary,Williamsburg
49,University of Nebraska-Lincoln,Lincoln
221,Howard University,Washington
-1,Antioch University New England,Keene
1604,Lincoln Christian University,Lincoln
909,Centenary College of Louisiana,Shreveport
445,University of Wisconsin-Stout,Menomonie
702,Bowie State University,Bowie
818,Hartwick College,Oneonta
1438,Saint Elizabeth University,Morristown
612,Norwich University,Northfield
1320,Adler University,Chicago
1681,Great Lakes Christian College,Lansing
1515,Boston Graduate School of Psychoanalysis,Brookline
1021,West Virginia State University,Institute
1495,Faith Baptist Bible College and Theological Seminary,Ankeny
1623,New England College of Optometry,Boston
1269,Georgian Court University,Lakewood
606,University of North Carolina at Pembroke,Pembroke
1034,Manchester University,North Manchester
776,Utah Tech University,St. George
671,Capital University,Columbus
489,Touro University,New York City
920,Lebanon Valley College,Annville
363,College of the Holy Cross,Worcester
1273,Grace College,Winona Lake
928,Marywood University,Scranton
1062,Concordia University-Nebraska,Seward
457,University of South Alabama,Mobile
896,Hampden-Sydney College,Hampden-Sydney
889,Spring Hill College,Mobile
111,Utah State University,Logan
597,Houston Baptist University,Houston
1143,Thomas Aquinas College,Santa Paula
1462,Wiley College,Marshall
590,Bellarmine University,Louisville
297,Medical College of Wisconsin,Milwaukee
970,Capitol Technology University,Laurel
1675,The King's University,Southlake
398,Valparaiso University,Valparaíso
1162,South Carolina State University,Orangeburg
1000,Southwestern Law School,Los Angeles
1312,Hastings College,Hastings
824,Dillard University,New Orleans
1677,Lakeview College of Nursing,Danville
1343,The Institute of World Politics,Washington
708,Western Connecticut State University,Danbury
1140,Oklahoma Baptist University,Shawnee
1037,Elmira College,Elmira
1036,Charleston Southern University,Charleston
1205,Valley City State University,Valley City
1295,Vermont State University-Randolph,Randolph
226,Mount Holyoke College,South Hadley
260,College of Charleston,Charleston
1696,Arlington Baptist University,Arlington
449,State University of New York at New Paltz,New Paltz
193,Carleton College,Northfield
1594,Blackburn College,Carlinville
1211,Tusculum University,Greeneville
1178,Saint Peter's University,Jersey City
729,Lander University,Greenwood
1716,Crowley's Ridge College,Paragould
1416,University of Northwestern Ohio,Lima
1087,Daytona State College,Daytona Beach
1667,Life Pacific University,San Dimas
251,University of Northern Iowa,Cedar Falls
37,University of California-Irvine,Irvine
317,The University of Texas Medical Branch at Galveston,Galveston
1536,University of the Southwest,Hobbs
1724,WON Institute of Graduate Studies,Warminster
608,John Carroll University,University Heights
504,Abilene Christian University,Abilene
649,University of Louisiana at Monroe,Monroe
1300,Tabor College,Hillsboro
1370,Gulf Coast State College,Panama City
627,California Institute of Integral Studies,San Francisco
1185,Stephens College,Columbia
1264,Bismarck State College,Bismarck
1496,St. Thomas Aquinas College,Sparkill
840,Montana Tech,Butte
1281,Fairmont State University,Fairmont
783,Meredith College,Raleigh
1491,Bethany College-Kansas,Lindsborg
557,Augsburg University,Minneapolis
749,Wheaton College-Massachusetts,Norton
1584,Fisher College,Boston
922,Geneva College,Beaver Falls
566,University of Mary Washington,Fredericksburg
1523,Midland University,Fremont
1619,Alaska Bible College,Palmer
2,Harvard University,Cambridge
684,Merrimack College,North Andover
1606,Dominican School of Philosophy & Theology,Berkeley
579,University of New Haven,West Haven
1004,Trine University,Angola
595,New York Law School,New York City
991,Worcester State University,Worcester
240,Ball State University,Muncie
1195,Lakeland University,Plymouth
440,West Texas A&M University,Canyon
13,University of Wisconsin-Madison,Madison
192,Wesleyan University,Middletown
